GRUPO;CONSULTA_PORTAL;TIPO_CONSULTA;FILTRO;CAMPO_PORTAL;MIGALHA;PERMITE_SELECAO;PERMITE_CLIQUE;POSSUI_TOOLTIP;TOOLTIP_DESCRICAO_PORTAL;OBSERVACAO;CAMPO_DERIVADO;ORIGEM_DADOS;CAMPO_PORTAL;CAMPO_ORIGEM_DADOS;DIMENSAO_ORIGEM_DADOS;TOOLTIP_ORIGEM_DADOS
Receita;Receita;Pesquisa Básica;Classificação da Receita;Desdobramento 1;Página Principal >> Receita >> Origem da Receita >> Espécie da Receita;não;não;sim;Desdobramento para identificação de peculiaridades de cada receita.;Receita-classificação a partir de 2018;;armazém SIAFI;Desdobramento 1;Nível 1 - Desdobramento - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Nível 1 Desdobramento
Receita;Receita;Pesquisa Básica;Classificação da Receita;Desdobramento 2;Página Principal >> Receita >> Origem da Receita >> Espécie da Receita;não;não;sim;Desdobramento para identificação de peculiaridades de cada receita.;Receita-classificação a partir de 2018;;armazém SIAFI;Desdobramento 2;Nível 2 - Desdobramento - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Nível 2 Desdobramento
Receita;Receita;Pesquisa Básica;Classificação da Receita;Desdobramento 3;Página Principal >> Receita >> Origem da Receita >> Espécie da Receita;não;sim;sim;Desdobramento para identificação de peculiaridades de cada receita.;Receita-classificação a partir de 2018;;armazém SIAFI;Desdobramento 3;Nível 3 - Desdobramento - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Nível 3 Desdobramento
Receita;Receita;Pesquisa Básica;Classificação da Receita;Tipo de Receita;Página Principal >> Receita >> Origem da Receita >> Espécie da Receita >> Desdobramento 3;não;sim;sim;Identifica o tipo de arrecadação a que se refere a receita. Exemplo, receita de multas e juros, arrecadação principal e etc.;Receita-classificação a partir de 2018;;armazém SIAFI;Tipo de Receita;Tipo Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Tipo de Receita
Receita;Receita;Pesquisa Básica;Classificação da Receita;Item da Receita;Página Principal >> Receita >> Origem da Receita >> Espécie da Receita >> Desdobramento 4 >> Tipo de Receita;não;não;sim;Detalhamento da classificação orçamentária da receita referente ao tipo de receita;Receita-classificação a partir de 2018;;armazém SIAFI;Item da Receita;Item Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Item Receita
Receita;Receita;Pesquisa Básica;Classificação da Receita;Subitem da Receita;Página Principal >> Receita >> Origem da Receita >> Espécie da Receita >> Desdobramento 4 >> Tipo de Receita;não;não;sim;Detalhamento da classificação orçamentária da receita referente ao item de receita.;Receita-classificação a partir de 2018;;armazém SIAFI;Subitem da Receita;Subitem Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Subitem Receita
Receita;Receita;Pesquisa Básica;Classificação da Receita;Código da Fonte de Recurso;Página Principal >> Receita >> Origem da Receita >> Espécie da Receita >> Desdobramento 4 >> Tipo de Receita;não;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Código da Fonte de Recurso;Fonte Recurso - Código;Execução Orçamentária da Receita >> Receita Orçamentária >>  Dados da Receita Orçamentária;Código da fonte de recurso origem da receita orçamentária
Receita;Receita;Pesquisa Básica;Classificação da Receita;Fonte de Recurso;Página Principal >> Receita >> Origem da Receita >> Espécie da Receita >> Desdobramento 4 >> Tipo de Receita;não;não;sim;Indica a origem do dinheiro arrecadado. Combina a origem do dinheiro às despesas orçamentárias. Esta vinculação visa demonstrar o montante de dinheiro que já está comprometido com o atendimento de determinadas finalidades, e aquele que pode ser livremente alocado.;Receita-classificação a partir de 2018;;armazém SIAFI;Fonte de Recurso;Fonte Recurso - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >>  Dados da Receita Orçamentária;Descrição da fonte de recurso origem da receita orçamentária
Receita;Receita;Pesquisa Básica;Órgão;Órgão;Página Principal >> Receita >> Órgãos >> Órgão;não;sim;sim;Entidade da administração direta, inclusive fundo ou órgão autônomo e da administração indireta a que o orçamento consigna dotações especificas para realização de seus programas de trabalho.;Receita-classificação a partir de 2018;;armazém SIAFI;Órgão;Unidade Orçamentária - nome;Unidade Orçamentária;Nome completo da unidade orçamentária
Receita;Receita;Pesquisa Básica;Órgão;Classificação da Receita;Página Principal >> Receita >> Órgãos >> Órgão;não;não;sim;"Classificação criada a fim de possibilitar a identificação detalhada dos recursos que ingressam nos cofres públicos. Os números representam, da esquerda para a direita: categoria econômica; origem da receita; espécie da receita; desdobramento 1 da receita, desdobramento 2 da receita, desdobramento 3 da receita, tipo da receita";Receita-classificação a partir de 2018;;armazém SIAFI;Classificação da Receita;Classificação Receita - Código;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Código completo da classificação econômica da receita
Receita;Receita;Pesquisa Básica;Órgão;Categoria Econômica da Receita;Página Principal >> Receita >> Órgãos >> Órgão;não;não;sim;Primeiro nível de classificação orçamentária das receitas, dividindo-as em receitas correntes e receitas de capital.;Receita-classificação a partir de 2018;;armazém SIAFI;Categoria Econômica da Receita;Categoria Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição da Categoria Receita
Receita;Receita;Pesquisa Básica;Órgão;Origem da Receita;Página Principal >> Receita >> Órgãos >> Órgão;não;sim;sim;Detalhamento das categorias econômicas. Identifica a procedência das receitas no momento em que ingressam nos cofres públicos. Ex.: Impostos, taxas e contribuições de melhoria, Contribuições, Operações de crédito, Receita agropecuária, etc;Receita-classificação a partir de 2018;;armazém SIAFI;Origem da Receita;Origem Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição da Origem da Receita
Receita;Receita;Pesquisa Básica;Órgão;Valor Previsto Inicial;Página Principal >> Receita >> Órgãos >> Órgão;não;não;sim;Valor estimado da arrecadação para o ano consultado, previsto na Lei Orçamentária Anual (LOA).;Receita-classificação a partir de 2018;;armazém SIAFI;Valor Previsto Inicial;Valor Previsto Inicial;Execução Orçamentária da Receita >> Receita Orçamentária;Valor, em reais, da previsão inicial da receita
Receita;Receita;Pesquisa Básica;Órgão;Valor Previsto Atualizado;Página Principal >> Receita >> Órgãos >> Órgão;não;não;sim;Valor estimado inicial para arrecadação no ano consultado, previsto na Lei Orçamentária Anual, atualizado ao longo do ano.;Receita-classificação a partir de 2018;;armazém SIAFI;Valor Previsto Atualizado;Valor Previsto Atualizado;Execução Orçamentária da Receita >> Receita Orçamentária;Valor, em reais, da previsão atualizada da receita, resultante da expressão: Valor previsto inicial + Valor previsto adicional
Receita;Receita;Pesquisa Básica;Órgão;Valor Arrecadado;Página Principal >> Receita >> Órgãos >> Órgão;não;não;sim;Valor financeiro que entrou nos cofres públicos no período consultado.;Receita-classificação a partir de 2018;;armazém SIAFI;Valor Arrecadado;Valor Efetivado Ajustado;Execução Orçamentária da Receita >> Receita Orçamentária;Valor, em reais, da receita orçamentária efetivada ajustada
Receita;Receita;Pesquisa Básica;Órgão;% Arrecadado;Página Principal >> Receita >> Órgãos >> Órgão;não;não;sim;Relação entre o valor arrecadado e o valor previsto inicial.;Receita-classificação a partir de 2018;;#NA;% Arrecadado;CAMPO DISPONÍVEL APENAS NO PORTAL ;;
Receita;Receita;Pesquisa Básica;Órgão;Espécie da Receita;Página Principal >> Receita >> Órgãos >> Órgão >> Origem da Receita;não;sim;sim;Nível da classificação vinculado à origem, detalha o fato gerador das receitas. Ex.: dentro da origem de receita “Impostos, taxas e contribuições de melhoria”, podemos identificar as espécies “taxas” e “impostos;Receita-classificação a partir de 2018;;armazém SIAFI;Espécie da Receita;Espécie Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição da Espécie Receita
Receita;Receita;Pesquisa Básica;Órgão;Desdobramento 1;Página Principal >> Receita >> Órgãos >> Órgão >> Origem da Receita >> Espécie da Receita;não;não;sim;Desdobramento para identificação de peculiaridades de cada receita.;Receita-classificação a partir de 2018;;armazém SIAFI;Desdobramento 1;Nível 1 - Desdobramento - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Nível 1 Desdobramento
Receita;Receita;Pesquisa Básica;Órgão;Desdobramento 2;Página Principal >> Receita >> Órgãos >> Órgão >> Origem da Receita >> Espécie da Receita;não;não;sim;Desdobramento para identificação de peculiaridades de cada receita.;Receita-classificação a partir de 2018;;armazém SIAFI;Desdobramento 2;Nível 2 - Desdobramento - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Nível 2 Desdobramento
Receita;Receita;Pesquisa Básica;Órgão;Desdobramento 3;Página Principal >> Receita >> Órgãos >> Órgão >> Origem da Receita >> Espécie da Receita;não;sim;sim;Desdobramento para identificação de peculiaridades de cada receita.;Receita-classificação a partir de 2018;;armazém SIAFI;Desdobramento 3;Nível 3 - Desdobramento - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Nível 3 Desdobramento
Receita;Receita;Pesquisa Básica;Órgão;Tipo de Receita;Página Principal >> Receita >> Órgãos >> Órgão >> Origem da Receita >> Espécie da Receita >> Desdobramento 3;não;sim;sim;Identifica o tipo de arrecadação a que se refere a receita. Exemplo, receita de multas e juros, arrecadação principal e etc.;Receita-classificação a partir de 2018;;armazém SIAFI;Tipo de Receita;Tipo Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Tipo de Receita
Receita;Receita;Pesquisa Básica;Órgão;Item da Receita;Página Principal >> Receita >> Órgãos >> Órgão >> Origem da Receita >> Espécie da Receita >> Desdobramento 3 >> Tipo de Receita;não;não;sim;Detalhamento da classificação orçamentária da receita referente ao tipo de receita;Receita-classificação a partir de 2018;;armazém SIAFI;Item da Receita;Item Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Item Receita
Receita;Receita;Pesquisa Básica;Órgão;Subitem da Receita;Página Principal >> Receita >> Órgãos >> Órgão >> Origem da Receita >> Espécie da Receita >> Desdobramento 3 >> Tipo de Receita;não;não;sim;Detalhamento da classificação orçamentária da receita referente ao item de receita.;Receita-classificação a partir de 2018;;armazém SIAFI;Subitem da Receita;Subitem Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Subitem Receita
Receita;Receita;Pesquisa Básica;Órgão;Código da Fonte de Recurso;Página Principal >> Receita >> Órgãos >> Órgão >> Origem da Receita >> Espécie da Receita >> Desdobramento 3 >> Tipo de Receita;não;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Código da Fonte de Recurso;Fonte Recurso - Código;Execução Orçamentária da Receita >> Receita Orçamentária >>  Dados da Receita Orçamentária;Código da fonte de recurso origem da receita orçamentária
Receita;Receita;Pesquisa Básica;Órgão;Fonte de Recurso;Página Principal >> Receita >> Órgãos >> Órgão >> Origem da Receita >> Espécie da Receita >> Desdobramento 3 >> Tipo de Receita;não;não;sim;Indica a origem do dinheiro arrecadado. Combina a origem do dinheiro às despesas orçamentárias. Esta vinculação visa demonstrar o montante de dinheiro que já está comprometido com o atendimento de determinadas finalidades, e aquele que pode ser livremente alocado.;Receita-classificação a partir de 2018;;armazém SIAFI;Fonte de Recurso;Fonte Recurso - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >>  Dados da Receita Orçamentária;Descrição da fonte de recurso origem da receita orçamentária
Receita;Receita;Pesquisa Avançada;Checkbox;Ano;Página Principal >> Receita >> Pesquisa Avançada;sim;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Ano;Ano de exercício;Período Contábil ;Ano de exerício do Orçamento Fiscal
Receita;Receita;Pesquisa Avançada;Checkbox;Inicio/Fim;Página Principal >> Receita >> Pesquisa Avançada;sim;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Inicio/Fim;Mês - Númerico;Período Contábil ;Mês numérico de registro do documento SIAFI (0 a 14)
Receita;Receita;Pesquisa Avançada;Checkbox;Natureza Jurídica;Página Principal >> Receita >> Pesquisa Avançada;sim;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Natureza Jurídica;Natureza Jurídica Unid Orçam - Desc;Unidade Orçamentária;"Descrição da natureza jurídica no qual a unidade orçamentária está incluída: Administração Direta; Autarquias; Fundações; Fundos; Empresas Est. Dependentes; Empresas Controladas"
Receita;Receita;Pesquisa Avançada;Checkbox;Órgão;Página Principal >> Receita >> Pesquisa Avançada;sim;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Órgão;Unidade Orçamentária - nome;Unidade Orçamentária;Nome completo da unidade orçamentária
Receita;Receita;Pesquisa Avançada;Checkbox;Categoria Econômica da Receita;Página Principal >> Receita >> Pesquisa Avançada;sim;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Categoria Econômica da Receita;Categoria Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição da Categoria Receita
Receita;Receita;Pesquisa Avançada;Checkbox;Origem;Página Principal >> Receita >> Pesquisa Avançada;sim;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Origem;Origem Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição da Origem da Receita
Receita;Receita;Pesquisa Avançada;Checkbox;Espécie ;Página Principal >> Receita >> Pesquisa Avançada;sim;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Espécie ;Espécie Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição da Espécie Receita
Receita;Receita;Pesquisa Avançada;Checkbox;Desdobramento 1;Página Principal >> Receita >> Pesquisa Avançada;sim;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Desdobramento 1;Nível 1 - Desdobramento - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Nível 1 Desdobramento
Receita;Receita;Pesquisa Avançada;Checkbox;Desdobramento 2;Página Principal >> Receita >> Pesquisa Avançada;sim;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Desdobramento 2;Nível 2 - Desdobramento - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Nível 2 Desdobramento
Receita;Receita;Pesquisa Avançada;Checkbox;Desdobramento 3;Página Principal >> Receita >> Pesquisa Avançada;sim;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Desdobramento 3;Nível 3 - Desdobramento - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Nível 3 Desdobramento
Receita;Receita;Pesquisa Avançada;Checkbox;Tipo de Receita;Página Principal >> Receita >> Pesquisa Avançada;sim;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Tipo de Receita;Tipo Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Tipo de Receita
Receita;Receita;Pesquisa Avançada;Checkbox;Item da Receita;Página Principal >> Receita >> Pesquisa Avançada;sim;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Item da Receita;Item Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Item Receita
Receita;Receita;Pesquisa Avançada;Checkbox;Fonte de Recursos;Página Principal >> Receita >> Pesquisa Avançada;sim;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Fonte de Recursos;Fonte Recurso - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >>  Dados da Receita Orçamentária;Descrição da fonte de recurso origem da receita orçamentária
Receita;Receita;Pesquisa Avançada;Checkbox;Subitem da Receita;Página Principal >> Receita >> Pesquisa Avançada;sim;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Subitem da Receita;Subitem Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Subitem Receita
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Natureza Jurídica;Página Principal >> Receita >> Pesquisa Avançada;não;não;sim;Descrição da Natureza Juridíca o qual o órgão executor está incluído;Receita-classificação a partir de 2018;;armazém SIAFI;Natureza Jurídica;Natureza Jurídica Unid Orçam - Desc;Unidade Orçamentária;"Descrição da natureza jurídica no qual a unidade orçamentária está incluída: Administração Direta; Autarquias; Fundações; Fundos; Empresas Est. Dependentes; Empresas Controladas"
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Categoria Econômica da Receita;Página Principal >> Receita >> Pesquisa Avançada;não;não;sim;Primeiro nível de classificação orçamentária das receitas, dividindo-as em receitas correntes e receitas de capital.;Receita-classificação a partir de 2018;;armazém SIAFI;Categoria Econômica da Receita;Categoria Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição da Categoria Receita
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Cód da Categoria Econômica da Receita;Página Principal >> Receita >> Pesquisa Avançada;não;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Cód da Categoria Econômica da Receita;Categoria Receita - Código;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Código da Categoria Receita
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Desdobramento 1;Página Principal >> Receita >> Pesquisa Avançada;não;não;sim;Desdobramento para identificação de peculiaridades de cada receita.;Receita-classificação a partir de 2018;;armazém SIAFI;Desdobramento 1;Nível 1 - Desdobramento - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Nível 1 Desdobramento
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Cód do Desdobramento 1;Página Principal >> Receita >> Pesquisa Avançada;não;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Cód do Desdobramento 1;Nível 1 - Desdobramento - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Código do Nível 1 Desdobramento
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Desdobramento 2;Página Principal >> Receita >> Pesquisa Avançada;não;não;sim;Desdobramento para identificação de peculiaridades de cada receita.;Receita-classificação a partir de 2018;;armazém SIAFI;Desdobramento 2;Nível 2 - Desdobramento - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Nível 2 Desdobramento
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Cód do Desdobramento 2;Página Principal >> Receita >> Pesquisa Avançada;não;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Cód do Desdobramento 2;Nível 1 - Desdobramento - Código;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Código do Nível 2 Desdobramento
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Desdobramento 3;Página Principal >> Receita >> Pesquisa Avançada;não;não;sim;Desdobramento para identificação de peculiaridades de cada receita.;Receita-classificação a partir de 2018;;armazém SIAFI;Desdobramento 3;Nível 3 - Desdobramento - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Nível 3 Desdobramento
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Cód do Desdobramento 3;Página Principal >> Receita >> Pesquisa Avançada;não;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Cód do Desdobramento 3;Nível 1 - Desdobramento - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Código do Nível 3 Desdobramento
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Espécie da Receita;Página Principal >> Receita >> Pesquisa Avançada;não;não;sim;Nível da classificação vinculado à origem, detalha o fato gerador das receitas. Ex.: dentro da origem de receita “Impostos, taxas e contribuições de melhoria”, podemos identificar as espécies “taxas” e “impostos;Receita-classificação a partir de 2018;;armazém SIAFI;Espécie da Receita;Espécie Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição da Espécie Receita
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Cód. da Espécie da Receita;Página Principal >> Receita >> Pesquisa Avançada;não;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Cód. da Espécie da Receita; Espécie Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Código da Espécie Receita
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Fonte de Recurso;Página Principal >> Receita >> Pesquisa Avançada;não;não;sim;Indica a origem do dinheiro arrecadado. Combina a origem do dinheiro às despesas orçamentárias. Esta vinculação visa demonstrar o montante de dinheiro que já está comprometido com o atendimento de determinadas finalidades, e aquele que pode ser livremente alocado.;Receita-classificação a partir de 2018;;armazém SIAFI;Fonte de Recurso;Fonte Recurso - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >>  Dados da Receita Orçamentária;Descrição da fonte de recurso origem da receita orçamentária
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Cód. Da Fonte da Receita;Página Principal >> Receita >> Pesquisa Avançada;não;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Cód. Da Fonte da Receita;Fonte Recurso - Código;Execução Orçamentária da Receita >> Receita Orçamentária >>  Dados da Receita Orçamentária;Código da fonte de recurso origem da receita orçamentária
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Item da Receita;Página Principal >> Receita >> Pesquisa Avançada;não;não;sim;Detalhamento da classificação orçamentária da receita referente ao tipo de receita;Receita-classificação a partir de 2018;;armazém SIAFI;Item da Receita;Item Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição do Item Receita
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Origem da Receita;Página Principal >> Receita >> Pesquisa Avançada;não;não;sim;Detalhamento das categorias econômicas. Identifica a procedência das receitas no momento em que ingressam nos cofres públicos. Ex.: Impostos, taxas e contribuições de melhoria, Contribuições, Operações de crédito, Receita agropecuária, etc;Receita-classificação a partir de 2018;;armazém SIAFI;Origem da Receita;Origem Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Descrição da Origem da Receita
Receita;Receita;Pesquisa Avançada;Tabela de Resultado;Cód. Da origem da Receita;Página Principal >> Receita >> Pesquisa Avançada;não;não;não;;Receita-classificação a partir de 2018;;armazém SIAFI;Cód. Da origem da Receita;Item Receita - Descrição;Execução Orçamentária da Receita >> Receita Orçamentária >> Classificação Receita Orçamentária a partir de 2018;Código da Origem Receita (0 a 9)
