GRUPO;CONSULTA_PORTAL;TIPO_CONSULTA;FILTRO;CAMPO_PORTAL;MIGALHA;PERMITE_SELECAO;PERMITE_CLIQUE;POSSUI_TOOLTIP;TOOLTIP_DESCRICAO_PORTAL;OBSERVACAO;CAMPO_DERIVADO;ORIGEM_DADOS;CAMPO_ORIGEM_DADOS;TIPO_CAMPO_ARMAZEM;DIMENSAO_ORIGEM_DADOS;TOOLTIP_ORIGEM_DADOS
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Básica;;Indicador de Procedência e Uso;Crédito Orçamentária / Órgão / Função / Ação;não;não;sim;Identifica a origem e a utilização dos recursos. Ex.: se os recursos são para livre utilização, se foram transferidos de outra unidade orçamentária, se são para contrapartida a convênios, etc.;;sim;armazém SIAFI;Procedência - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> GMIFP - Alteração;Descrição da procedência dos recursos financeiros
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Básica;;Fonte de Recurso;Crédito Orçamentária / Órgão / Função / Ação;não;não;sim;Indica a origem do dinheiro arrecadado. Combina a origem do dinheiro às despesas orçamentárias. Esta vinculação visa demonstrar o montante de dinheiro que já está comprometido com o atendimento de determinadas finalidades, e aquele que pode ser livremente alocado.;;sim;armazém SIAFI;Fonte de Recurso - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> GMIFP - Alteração;Descrição da fonte dos recursos financeiros
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Checkbox;Ano;Crédito Orçamentária / Pesquisa Avançada;sim;não;não;;;;armazém SIAFI;Ano de exercício;númerico;Período Contábil;Ano de exercídio do Orçamento Fiscal
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Checkbox;Órgão;Crédito Orçamentária / Pesquisa Avançada;sim;não;não;;A opção de seleção apresenta código e descrição;;armazém SIAFI;Unidade Orçamentária -nome;descrição;Unidade Orçamentária;Nome Completo da Unidade Orçamentária
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Checkbox;Função;Crédito Orçamentária / Pesquisa Avançada;sim;não;não;;A opção de seleção apresenta código e descrição;;armazém SIAFI;Função - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> Programa de Trabalho - Alteração;Descrição do nível máximo de agregação das ações do Governo
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Checkbox;Subfunção;Crédito Orçamentária / Pesquisa Avançada;não;não;não;;;;armazém SIAFI;Subfunção - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> Programa de Trabalho - Alteração;Descrição do detalhamento das áreas de atuação do Governo
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Checkbox;Programa;Crédito Orçamentária / Pesquisa Avançada;sim;não;não;;A opção de seleção apresenta código e descrição;;armazém SIAFI;Programa - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> Programa de Trabalho - Alteração;Descrição do objetivo concreto, bem ou serviço que se quer atingir
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Checkbox;Ação;Crédito Orçamentária / Pesquisa Avançada;sim;não;não;;A opção de seleção apresenta código e descrição;;armazém SIAFI;Projeto Atividade - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> Programa de Trabalho - Alteração;Código identificador do conjunto de operações, limitadas no tempo (projeto) ou realizadas de modo contínuo e permanente (atividade) dos quais resulta um produto final (projeto) ou necessárias à manutenção da ação governamental (atividade)
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Checkbox;Grupo;Crédito Orçamentária / Pesquisa Avançada;sim;não;não;;A opção de seleção apresenta código e descrição;;armazém SIAFI;Grupo Despesa - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> GMIFP - Alteração;"Descrição do grupo de natureza econômica da despesa: Pessoal e Encargos Sociais; Juros e Encargos da Divida; Outras Despesas Correntes; Investimentos; Inversões Financeiras; Amortização da Divida"
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Checkbox;Modalidade de Aplicação;Crédito Orçamentária / Pesquisa Avançada;sim;não;não;;A opção de seleção apresenta código e descrição;;armazém SIAFI;Modalidade de Aplicação - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> GMIFP - Alteração;Classificação da natureza da despesa que traduz a forma como os recursos serão aplicados pelos órgãos/entidades, podendo ser diretamente pelos mesmos ou sob a forma de transferências a outras entidades públicas ou privadas que se encarregarão da execução das ações
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Checkbox;Indicador de Ação Governamental;Crédito Orçamentária / Pesquisa Avançada;sim;não;não;;A opção de seleção apresenta código e descrição;;armazém SIAFI;Indicador Orçamento - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> GMIFP - Alteração;"Identificador do orçamento conforme o SIAFI-MG: Projeto não estruturador; Projeto estruturador; Não estruturador; Estruturador"
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Checkbox;Indicador de Procedência e Uso;Crédito Orçamentária / Pesquisa Avançada;sim;não;não;;A opção de seleção apresenta código e descrição;;armazém SIAFI;Procedência - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> GMIFP - Alteração;Descrição da procedência dos recursos financeiros
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Checkbox;Fonte de Recurso;Crédito Orçamentária / Pesquisa Avançada;sim;não;não;;A opção de seleção apresenta código e descrição;;armazém SIAFI;Fonte de Recurso - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> GMIFP - Alteração;Descrição da fonte dos recursos financeiros
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Tabela de Resultado;Órgão;Crédito Orçamentária / Pesquisa Avançada;não;não;sim;Nome da unidade orçamentária na qual a despesa está orçada.;;;armazém SIAFI;Unidade Orçamentária -nome;descrição;Unidade Orçamentária;Nome Completo da Unidade Orçamentária
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Tabela de Resultado;Função;Crédito Orçamentária / Pesquisa Avançada;não;não;sim;Áreas de atuação do setor público nas quais são gastos os recursos, tais como saúde, educação, administração, transportes, etc.;;;armazém SIAFI;Função - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> Programa de Trabalho - Alteração;Descrição do nível máximo de agregação das ações do Governo
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Tabela de Resultado;Subfunção;Crédito Orçamentária / Pesquisa Avançada;não;não;sim;Identifica a natureza básica das ações que se aglutinam em torno das funções.;;;armazém SIAFI;Subfunção - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> Programa de Trabalho - Alteração;Descrição do detalhamento das áreas de atuação do Governo
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Tabela de Resultado;Programa;Crédito Orçamentária / Pesquisa Avançada;não;não;sim;Conjunto de ações para atender um problema ou demanda da sociedade.;;;armazém SIAFI;Programa - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> Programa de Trabalho - Alteração;Descrição do objetivo concreto, bem ou serviço que se quer atingir
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Tabela de Resultado;Ação;Crédito Orçamentária / Pesquisa Avançada;não;não;sim;Conjunto de operações das quais resulta a entrega de um produto (bem, serviço ou transferência financeira) que contribui para atender ao objetivo de um programa.;-;;armazém SIAFI;Projeto Atividade - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> Programa de Trabalho - Alteração;Código identificador do conjunto de operações, limitadas no tempo (projeto) ou realizadas de modo contínuo e permanente (atividade) dos quais resulta um produto final (projeto) ou necessárias à manutenção da ação governamental (atividade)
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Tabela de Resultado;Grupo;Crédito Orçamentária / Pesquisa Avançada;não;não;sim;Classificação da despesa que agrega elementos de despesa quanto ao objeto do gasto (pessoal, juros, amortização da dívida, investimentos, etc.).;;;armazém SIAFI;Grupo Despesa - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> GMIFP - Alteração;"Descrição do grupo de natureza econômica da despesa: Pessoal e Encargos Sociais; Juros e Encargos da Divida; Outras Despesas Correntes; Investimentos; Inversões Financeiras; Amortização da Divida"
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Tabela de Resultado;Modalidade de Aplicação;Crédito Orçamentária / Pesquisa Avançada;não;não;sim;Indica se os recursos são aplicados diretamente por órgãos ou entidades no âmbito da mesma esfera de Governo ou por outro ente da Federação.;;;armazém SIAFI;Modalidade de Aplicação - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> GMIFP - Alteração;Classificação da natureza da despesa que traduz a forma como os recursos serão aplicados pelos órgãos/entidades, podendo ser diretamente pelos mesmos ou sob a forma de transferências a outras entidades públicas ou privadas que se encarregarão da execução das ações
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Tabela de Resultado;Indicador de Ação Governamental;Crédito Orçamentária / Pesquisa Avançada;não;não;sim;O Indicador de Ação Governamental (IGA) indica o tipo de acompanhamento que é feito da ação: geral ou intensivo.;;;armazém SIAFI;Indicador Orçamento - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> GMIFP - Alteração;"Identificador do orçamento conforme o SIAFI-MG: Projeto não estruturador; Projeto estruturador; Não estruturador; Estruturador"
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Tabela de Resultado;Indicador de Procedência e Uso;Crédito Orçamentária / Pesquisa Avançada;não;não;sim;Identifica a origem e a utilização dos recursos. Ex.: se os recursos são para livre utilização, se foram transferidos de outra unidade orçamentária, se são para contrapartida a convênios, etc.;;;armazém SIAFI;Procedência - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> GMIFP - Alteração;Descrição da procedência dos recursos financeiros
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Tabela de Resultado;Crédito Autorizado;Crédito Orçamentária / Pesquisa Avançada;não;não;sim;Valor monetário do orçamento, considerando a Lei Orçamentária Anual, as suplementações oriundas dos créditos adicionais e os remanejamentos realizados entre dotações orçamentárias.;;;armazém SIAFI;Valor Crédito Autorizado;valor;Execução Orçamentária da Despesa  >> Alteração Orçamentária;Valor total, em reais, do crédito disponível para a execução da despesa, resultante da expressão: (Valor de crédito Inicial - Valor de crédito inicial anulado por errata + Valor de crédito inicial acrescido por errata) + Valor de suplementação + Valor de crédito extraordinário + Valor de crédito especial - Valor de anulação de crédito + Valor de remanejamento de suplementação - Valor de remanejamento de anulação
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Tabela de Resultado;Crédito Inicial;Crédito Orçamentária / Pesquisa Avançada;não;não;sim;Valor monetário do orçamento instituído pela Lei Orçamentária Anual.;;;armazém SIAFI;Valor Crédito Inicial;valor;Execução Orçamentária da Despesa  >> Alteração Orçamentária;Valor em reais, do crédito aprovado pela Lei Orçamentária, resultante da expressão: Valor Crédito Inicial - Valor Crédito Inicial Anulado + Valor crédito inicial acrescido por errata
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Avançada;Tabela de Resultado;Fonte de Recurso;Crédito Orçamentária / Pesquisa Avançada;não;não;sim;Indica a origem do dinheiro arrecadado. Combina a origem do dinheiro às despesas orçamentárias. Esta vinculação visa demonstrar o montante de dinheiro que já está comprometido com o atendimento de determinadas finalidades, e aquele que pode ser livremente alocado.;;;armazém SIAFI;Fonte de Recurso - Descrição;código + descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> GMIFP - Alteração;Descrição da fonte dos recursos financeiros
